name,kind,sidocode,sido,sigungucode,sigungu,dongcode,dong,jibuncode,jibun,jibunaddr,doro,doroaddr,gyundo,wido
유성철물,소매,11,서울특별시,11740,강동구,1174010500,길동,1.17E+18,341,서울특별시 강동구 길동 341-31번지 ,서울특별시 강동구 천중로49가길,"서울특별시 강동구 천중로49가길 21, (길동)",127.1442583,37.54146373
대신티엠,생활서비스,11,서울특별시,11740,강동구,1174010300,상일동,1.17E+18,35,서울특별시 강동구 상일동 35-5,서울특별시 강동구 고덕로92길,서울특별시 강동구 고덕로92길 118-27,127.1808,37.55261667
남도익스프레스,생활서비스,11,서울특별시,11740,강동구,1174010600,둔촌동,1.17E+18,108,서울특별시 강동구 둔촌동 108-10번지 ,서울특별시 강동구 풍성로73길,"서울특별시 강동구 풍성로73길 9, (둔촌동)",127.145739,37.52673315
대한인테리어,소매,11,서울특별시,11260,중랑구,1126010300,중화동,1.13E+18,299,서울특별시 중랑구 중화동 299-148번지 ,서울특별시 중랑구 동일로123길,"서울특별시 중랑구 동일로123길 27, (중화동)",127.07841,37.59759004
강동천일렌트카,생활서비스,11,서울특별시,11740,강동구,1174010100,명일동,1.17E+18,15,서울특별시 강동구 명일동 15번지 삼익그린2차 ,서울특별시 강동구 고덕로,"서울특별시 강동구 고덕로 210, (명일동, 삼익그린2차)",127.1470486,37.55380135
농산물할인매장,소매,11,서울특별시,11590,동작구,1159010800,대방동,1.16E+18,389,서울특별시 동작구 대방동 389-1번지 ,서울특별시 동작구 여의대방로,"서울특별시 동작구 여의대방로 192, (대방동)",126.9222159,37.50392849
튼튼영어,학문/교육,11,서울특별시,11215,광진구,1121510400,광장동,1.12E+18,245,서울특별시 광진구 광장동 245-8번지 ,서울특별시 광진구 아차산로73길,"서울특별시 광진구 아차산로73길 25, (광장동)",127.103374,37.54617924
영흥자동차공업사,생활서비스,11,서울특별시,11200,성동구,1120012200,용답동,1.12E+18,228,서울특별시 성동구 용답동 228-9번지 ,서울특별시 성동구 자동차시장1길,"서울특별시 성동구 자동차시장1길 23, (용답동)",127.0600544,37.56147556
관수당구,관광/여가/오락,11,서울특별시,11110,종로구,1111015500,관수동,1.11E+18,13,서울특별시 종로구 관수동 13-2번지 ,서울특별시 종로구 수표로,"서울특별시 종로구 수표로 91, (관수동)",126.9892952,37.56938784
샐마,소매,11,서울특별시,11650,서초구,1165010700,반포동,1.17E+18,107,서울특별시 서초구 반포동 107-8번지 ,서울특별시 서초구 사평대로,"서울특별시 서초구 사평대로 102, (반포동)",126.9957555,37.4987648
